,week_yr,total
0,2013-w09,234
1,2013-w10,119
2,2013-w11,76
3,2013-w12,34
4,2013-w13,28
5,2013-w14,43
6,2013-w15,6
7,2013-w16,27
8,2013-w17,26
9,2013-w18,14
10,2013-w19,30
11,2013-w20,21
12,2013-w21,28
13,2013-w22,56
14,2013-w23,34
15,2013-w24,53
16,2013-w25,28
17,2013-w26,38
18,2013-w27,25
19,2013-w28,32
20,2013-w29,12
21,2013-w30,28
22,2013-w31,210
23,2013-w32,17
24,2013-w33,141
25,2013-w34,43
26,2013-w35,21
27,2013-w36,16
28,2013-w37,22
29,2013-w38,13
30,2013-w39,27
31,2013-w40,23
32,2013-w41,9
33,2013-w42,4
34,2013-w43,3
35,2013-w44,9
36,2013-w45,7
37,2013-w46,4
38,2013-w47,55
39,2013-w48,27
40,2013-w50,6
41,2013-w51,3
42,2013-w52,1
43,2014-w01,18
44,2014-w03,5
45,2014-w04,5
46,2014-w05,12
47,2014-w06,2
48,2014-w07,16
49,2014-w09,5
50,2014-w10,2
51,2014-w11,6
52,2014-w12,21
53,2014-w13,7
54,2014-w14,9
55,2014-w15,3
56,2014-w16,5
57,2014-w17,16
58,2014-w18,31
59,2014-w19,20
60,2014-w20,10
61,2014-w21,7
62,2014-w22,16
63,2014-w23,9
64,2014-w24,9
65,2014-w25,21
66,2014-w26,7
67,2014-w27,9
68,2014-w28,17
69,2014-w29,18
70,2014-w30,14
71,2014-w31,7
72,2014-w32,9
73,2014-w33,12
74,2014-w34,9
75,2014-w35,10
76,2014-w36,6
77,2014-w37,2
78,2014-w38,6
79,2014-w39,1
80,2014-w40,4
81,2014-w41,12
82,2014-w42,13
83,2014-w43,8
84,2014-w44,7
85,2014-w45,9
86,2014-w46,16
87,2014-w47,5
88,2014-w48,9
89,2014-w49,5
90,2014-w50,2
91,2014-w51,5
92,2014-w52,4
93,2015-w01,5
94,2015-w02,2
95,2015-w03,3
96,2015-w04,4
97,2015-w05,5
98,2015-w06,13
99,2015-w07,9
100,2015-w08,18
101,2015-w09,15
102,2015-w10,5
103,2015-w11,7
104,2015-w12,4
105,2015-w13,12
106,2015-w14,4
107,2015-w15,222
108,2015-w16,1
109,2015-w17,25
110,2015-w18,10
111,2015-w19,16
112,2015-w20,8
113,2015-w21,16
114,2015-w22,6
115,2015-w23,7
116,2015-w24,10
117,2015-w25,5
